Artikelnummer,Bezeichnung,Anzahl
STECKBOARD 2K4V,Experimentier-Steckboard 1280/400 Kontakte,1
EBS 35,"Klinkeneinbaubuchse, 3,5 mm, Stereo",1
PIH PC16IP04103A,"Drehpotentiometer, 10 kOhm, linear, 4 mm",1
OPA 2134 UA/2K5,"2-Kanal-Audio-Operationsverstärker, 20 V/µs, 8 MHz, SO-8",2
SB 340,"Schottkydiode, 40 V, 3 A, DO-201",2
"VIT CR254R0,22","Drahtwiderstand, axial, 3W, 0,22 Ohm, 5%",6
L-11PHC 330µ,"Stehende-Induktivität, 11PHC, Ferrit, 330 µH",2
MC 34063 A,"Step-Up/Down, adj., 3 ... 40 V, 1,25 ... 40 V, DIP-8",2
GS 8,"IC-Sockel, 8-polig, doppelter Federkontakt",50
QUAD 1802O029,"LED 3 mm - 3 mm LEDs,je 20 Stück in diversen Farben",1
K/TRANS1,"Sortiment, Transistoren, 100-teilig",1
QUAD 201711P004,"Metallschicht-Widerstand 0,5 W, 1 Ohm - 1M Ohm, 400 Stück",1
LM 393 DIP,"Komparator, 2-fach, DIP-8",5
LTV 826,"2-fach Optokoppler, 5kV, 80V, 50mA, 50-600%, DIP-8",5
OPA 2134 PA,"2-Kanal-Audio-Operationsverstärker, 20 V/µs, 8 MHz, DIP-8",2
PO4S-LIN 100K,"Drehpotentiometer, Stereo, 100 kOhm, 4mm, linear",1
EBS 63P,"Klinkeneinbaubuchse, 6,3 mm, Stereo",1
