"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C201,C301","2","47u","","","","","~"
"C202,C302,C401,C402","4","4.7u","","","","","~"
"C204,C304","2","220p","","","","","~"
"C205,C305,C511,C512,C514,C515","6","1000u","","","","","~"
"C206,C306,C405,C406,C409,C410,C510","7","100n","","","","","~"
"C403,C404,C407,C408,C411,C412,C505,C506,C601","9","10u","","","","","~"
"C501","1","100u","","","","","~"
"C502,C503,C516","3","0.1u","","","","","~"
"C504","1","113p","","","","","~"
"C507,C508","2","1u","","","","","~"
"C509","1","6.9u","","","","","~"
"C513","1","0.33u","","","","","~"
"C602","1","470u","","","","","~"
"D101,D201,D301,D501,D502,D504,D505,D506,D601,D603,D605","11","1N4148","","","","","~"
"D503","1","SB340","","","","","~"
"D602","1","LED_GREEN","","","","","~"
"D604","1","LED_RED","","","","","~"
"J101,J102","2","282834-2","","","","","~"
"J103,J104","2","1711725","","","","","~"
"J501","1","TB009-508-05BE","","","","","~"
"K101","1","RT424012F","","","","","~"
"K601","1","EC2-12NU","","","","Relay_THT:Relay_DPDT_Kemet_EC2_NU","https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf"
"L101,L102","2","2u","","","","","~"
"L501","1","49u","","","","","~"
"M601,M602","2","Fan_3pin","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","http://www.hardwarecanucks.com/forum/attachments/new-builds/16287d1330775095-help-chassis-power-fan-connectors-motherboard-asus_p8z68.jpg"
"Q201,Q205,Q301,Q305","4","KSA992","","","","","~"
"Q202,Q203,Q204,Q206,Q207,Q210,Q213,Q302,Q303,Q304,Q306,Q307,Q310,Q313","14","KSC1845","","","","","~"
"Q208,Q209,Q211,Q308,Q309,Q311","6","BD140","","","","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf"
"Q212,Q214,Q216,Q312,Q314,Q316","6","MJE15034","","","","","~"
"Q215,Q217,Q315,Q317","4","MJE15035","","","","","~"
"Q218,Q220,Q318,Q320","4","NJW3281","","","","","~"
"Q219,Q221,Q319,Q321","4","NJW1302","","","","","~"
"Q601","1","2N7000","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.vishay.com/docs/70226/70226.pdf"
"Q602","1","BC517","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC517-D74Z-D.PDF"
"R101,R102,R236,R336","4","10","","","","","~"
"R103","1","180","","","","","~"
"R201,R210,R301,R310","4","50k","","","","","~"
"R202,R207,R302,R307","4","0","","","","","~"
"R203,R206,R303,R306","4","50","","","","","~"
"R204,R223,R304,R323","4","65","","","","","~"
"R205,R213,R215,R218,R220,R305,R313,R315,R318,R320,R403,R404,RV201,RV301","14","1k","","","","","~"
"R208,R209,R216,R308,R309,R316,R409,R410,R411,R412,R601,RV401","12","10k","","","","","~"
"R211,R311,R401,R402","4","33k","","","","","~"
"R212,R312","2","133k","","","","","~"
"R214,R217,R314,R317","4","220","","","","","~"
"R219,R319","2","130","","","","","~"
"R221,R321","2","20","","","","","~"
"R222,R322","2","18","","","","","~"
"R224,R225,R227,R228,R324,R325,R327,R328,R413,R414","10","100","","","","","~"
"R226,R326","2","265","","","","","~"
"R229,R329","2","90","","","","","~"
"R230,R231,R232,R233,R330,R331,R332,R333","8","0.1","","","","","~"
"R234,R334","2","1.2k","","","","","~"
"R235,R335","2","22k","","","","","~"
"R405,R406","2","1.5k","","","","","~"
"R407,R408","2","15k","","","","","~"
"R501","1","0.22","","","","","~"
"R502,R505","2","240","","","","","~"
"R503,R504","2","2.7k","","","","","~"
"R506","1","1.58k","","","","","~"
"R507","1","390","","","","","~"
"R602","1","800k","","","","","~"
"R603,R605","2","2.2k","","","","","~"
"R604","1","520","","","","","~"
"RV402","1","100k","","","","","~"
"SW601,SW602","2","67F050","","","","","~"
"U201,U301","2","ECC86","","","","Valve:Valve_Noval_P","http://www.r-type.org/pdfs/ecc88.pdf,https://frank.pocnet.net/sheets/035/6/6GM8.pdf"
"U401,U402","2","OPA2134","","","","","http://www.ti.com/lit/ds/symlink/opa134.pdf"
"U501","1","MC34063AP","","","","Package_DIP:DIP-8_W7.62mm","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF"
"U502","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U503","1","LM337_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm337-n.pdf"
"U504","1","LM7812_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
